id,created_at,text
1117869249853149185,2019-04-15 19:16:12,b'Going live on this fine Monday with the great and hilarious @tompapa https://t.co/GqAep0Nxtd https://t.co/Exj4HDZEAi'
1117579885596295169,2019-04-15 00:06:23,b'San Diego! Were only 6 days away from our powerful annual 420 celebration! https://t.co/RCRxp8dpeC'
1117572525221924865,2019-04-14 23:37:08,b'That beautiful yellow flower is something called Black Mustard. Its an invasive species thats native to Eurasia a https://t.co/e7R2T3RWHV'
1117512181002711042,2019-04-14 19:37:20,b'What do you folks think @cheetosantino was dreaming about? Other than all the photoshops that will come out of this https://t.co/eHMjthINor'
1117467264993959936,2019-04-14 16:38:52,b'A new super-Earth may orbit the star next door https://t.co/IuaifT3Itp via @NatGeoScience'
1117190004357332992,2019-04-13 22:17:08,"b'Another dream day at a dream job, and an amazing card for MMA fans! Pay per view Only available tonight at espn+ https://t.co/XumpswiTfB'"
1116904790179454978,2019-04-13 03:23:47,b'He wins. Rest in Power to a fellow joke slinger.  Thats the way to go. https://t.co/bnVWuOq7yb'
1116787410799607808,2019-04-12 19:37:22,b'My man @cheetosantino is getting after it. https://t.co/LuBa1tgLnm'
1116567211865333761,2019-04-12 05:02:22,b'San Diego. \nPrepare yourselves. @cheetosantino @tonyhinchcliffe and I are coming in hot. https://t.co/xl2VssEivY'
1116173988961689600,2019-04-11 02:59:51,b'I just uploaded JRE MMA Show #61 with Herb Dean to #Vimeo: https://t.co/qG5Ofr92GN'
1116056305733648384,2019-04-10 19:12:13,"b'The gold standard of MMA referees, the great and powerful @herbdeanmma https://t.co/GqAep158RN https://t.co/qiUPQjRZ74'"
1115848194729172994,2019-04-10 05:25:15,b'I just uploaded Joe Rogan Experience #1280 - Michael Yo to #Vimeo: https://t.co/1LhJfDJr1u'
1115690464169144320,2019-04-09 18:58:29,"b'Ready to get the party started with my long time friend, the hilarious @michaelyo https://t.co/GqAep158RN https://t.co/76DfssQge4'"
1115423001615454210,2019-04-09 01:15:41,b'I just uploaded JRE #1279 - Jessimae Peluso to #Vimeo: https://t.co/5J1T48NCbN'
1115290611718946816,2019-04-08 16:29:37,b'Time to wake and bake with the great and hilarious @jessimaepeluso https://t.co/GqAep158RN https://t.co/yPQQ2lNPNx'
1115204607377117184,2019-04-08 10:47:52,b'Maybe the most Florida headline ever? https://t.co/eTEo8VeZCo'
1114721426722844672,2019-04-07 02:47:53,"b'A Mysterious Infection, Spanning the Globe in a Climate of Secrecy https://t.co/B94Ecmtm5Y'"
1114718075469869058,2019-04-07 02:34:34,b'I just uploaded JRE #1278 - Kevin Hart to #Vimeo: https://t.co/s1w64xd2h9'
1114603328284049409,2019-04-06 18:58:36,b'Prepare yourself! Going live with the great and powerful @kevinhart4real https://t.co/GqAep158RN https://t.co/dEBe2UAwyz'
1114341138859798535,2019-04-06 01:36:45,"b'I finally watched this documentary on Area 51 and Bob Lazar. Very, very interesting. I have a love/hate relationshi https://t.co/8CycAO5p8A'"
